lat,lon,day,hour,category,uid,tid
0.012849558,0.077399455,0,21,0,172,0
0.008237947,0.0819129,0,21,8,172,0
0.009605337,0.09020827,0,21,8,172,0
0.016437579,0.076492734,0,21,8,172,0
0.02034812,0.07402616,0,21,8,172,0
0.023159925,0.0707176,0,21,8,172,0
0.025706936,0.06722022,4,21,8,172,0
0.025566053,0.06577276,4,21,8,172,0
0.026716236,0.062393084,4,21,8,172,0
0.024022717,0.05543498,4,21,8,172,0
0.029261518,0.052408256,4,21,8,172,0
0.028752152,0.054288954,4,21,8,172,0
0.028445546,0.058762424,4,21,8,172,0
0.03174291,0.06332861,4,21,8,172,0
0.02889498,0.04900161,4,21,8,172,0
0.029099721,0.046713546,4,21,8,172,0
0.02670284,0.045880802,4,21,8,172,0
0.028476294,0.048344105,4,21,6,172,0
-0.009029362,-0.04919999,0,20,4,4,1
-0.011433143,-0.05442273,1,20,4,4,1
-0.00885335,-0.043100588,3,22,4,4,1
-0.010430448,-0.04188314,3,22,4,4,1
-0.011111405,-0.040896013,3,4,4,4,1
-0.0038622767,-0.04266025,3,4,4,4,1
-0.0052350312,-0.046338394,4,4,4,4,1
-0.007314384,-0.040074453,4,4,4,4,1
-0.007435184,-0.03469594,4,4,4,4,1
-0.011519443,-0.029558145,4,4,4,4,1
-0.0129262395,-0.028157204,4,4,4,4,1
-0.011478249,-0.030256957,4,4,4,4,1
-0.008754689,-0.030695483,4,4,4,4,1
-0.0056218468,-0.029303111,4,4,4,4,1
-0.00013621524,-0.029443271,4,4,4,4,1
0.048278537,-0.12965932,2,5,6,153,2
0.053119887,-0.12249229,2,5,5,153,2
0.060880754,-0.109568335,2,5,5,153,2
0.05516028,-0.10683139,2,5,6,153,2
0.055846643,-0.10563129,2,5,6,153,2
0.04846563,-0.105841555,2,5,6,153,2
0.044411104,-0.10652761,2,5,6,153,2
0.047023278,-0.10428549,2,5,4,153,2
0.039980553,-0.10305625,2,5,4,153,2
0.04341403,-0.10430197,2,5,4,153,2
0.045913327,-0.101707995,6,5,4,153,2
0.038426712,-0.10070969,6,5,4,153,2
0.05624346,-0.0017521344,0,4,0,149,3
0.051206257,-0.001279071,3,4,6,149,3
0.05413245,0.014216103,3,4,6,149,3
0.05243979,0.02915994,3,4,6,149,3
0.057404194,0.033185177,3,4,6,149,3
0.054239903,0.03825762,3,4,6,149,3
0.045801748,0.043055974,3,4,6,149,3
0.04969022,0.043751575,3,4,6,149,3
0.049699236,0.038575448,3,4,6,149,3
0.050070394,0.033815756,3,4,6,149,3
0.019192737,-0.06224353,6,20,4,27,4
0.0155988075,-0.07974281,6,20,4,27,4
0.018594358,-0.077253796,5,20,4,27,4
0.016097948,-0.080339536,5,20,4,27,4
0.014927123,-0.07506696,5,20,4,27,4
0.021514114,-0.07212252,5,20,4,27,4
0.02726543,-0.07149692,5,20,4,27,4
0.022214442,-0.07149688,5,20,4,27,4
0.022937555,-0.0773683,5,20,4,27,4
0.017110731,-0.07516475,5,20,4,27,4
0.013682496,-0.07410463,5,20,4,27,4
0.012892131,-0.06610587,5,20,4,27,4
0.011361603,-0.056945957,5,20,4,27,4
0.015577812,-0.051704705,5,20,4,27,4
0.020103026,-0.05130291,5,20,4,27,4
-0.16057456,-0.0581472,2,20,1,28,5
-0.15800962,-0.0709832,2,20,1,28,5
-0.1534715,-0.0672821,2,20,1,28,5
-0.14302777,-0.04965368,2,20,1,28,5
-0.14152355,-0.04280696,2,20,1,28,5
-0.14873415,-0.038765155,3,20,1,28,5
-0.14431572,-0.039742097,3,20,1,28,5
-0.14592333,-0.032668523,3,20,1,28,5
-0.13688782,-0.039772965,3,20,1,28,5
-0.13841037,-0.037981644,3,20,1,28,5
